"Var1","Var2","Var3","Class"
68.2,-19.86,-1.62,1
67.4,-20.88,0.78,-1
39.6,-18.84,1.94,1
40.2,-14.16,-0.96,1
45.6,-10.56,0.82,-1
43.6,-9.6,1.9,-1
48,-11.46,0.24,-1
41.6,-16.86,-1.56,-1
48,-19.56,-1.02,-1
62.2,-14.1,-1.16,-1
54.2,-15.42,0.64,-1
44.6,-11.1,-1.48,1
60.6,-10.92,1.46,1
31.8,-14.94,-0.26,1
53.6,-12.06,-1.18,-1
38,-17.94,0.98,1
55.4,-16.02,-0.92,1
46.2,-17.94,-0.78,-1
41.6,-16.62,0.76,1
55.6,-15.96,1.12,-1
55.4,-20.28,-1.04,1
69.6,-18.66,-1.76,1
67.2,-12.6,-1.72,1
49.4,-12.18,1.34,-1
53,-13.8,-0.66,-1
60,-18.12,1.58,-1
69.8,-13.02,1.66,-1
47.2,-13.02,1.72,-1
35,-9.72,-0.16,1
53.8,-9.36,0.54,1
38.4,-13.44,1.74,1
58.4,-12.72,-0.38,-1
57,-16.32,0.96,1
69.8,-10.14,0.76,1
56.6,-14.22,1.74,1
47.6,-10.5,1.1,1
58.8,-19.2,1.46,1
31,-16.38,1.8,-1
56.8,-16.32,-0.86,-1
51.6,-9.84,0.1,1
62.8,-11.04,0.12,1
41,-16.32,1.3,1
48.2,-18.48,0.8,1
64.6,-13.92,-1.46,-1
63.6,-18.12,-1.24,1
43.8,-11.7,-1.7,1
35.6,-19.2,-1.56,-1
66.2,-19.56,-1.4,1
39,-12.3,-0.14,1
37,-19.62,-1.3,1
51.6,-11.16,-0.32,-1
41.2,-13.32,-2,1
30.4,-13.86,1.98,-1
33.8,-16.08,1.24,1
56.4,-10.5,1.68,1
57,-18,1.54,-1
35.2,-13.92,0.16,1
40.6,-9.42,0.92,-1
42.8,-17.58,1.82,1
57,-17.16,-1.12,1
32.6,-15.06,0.06,1
32.6,-16.86,-0.38,-1
56.4,-9.42,1.46,1
34.2,-16.02,-1.7,-1
59.4,-10.8,1.72,1
33,-18,-0.84,-1
65.6,-14.7,-0.48,-1
65.6,-12.18,-1.56,-1
47.6,-11.28,0.74,-1
33.8,-11.88,0.42,-1
51.8,-9.54,-0.6,1
46,-14.52,0.92,-1
30.6,-16.08,-0.56,-1
67,-18.66,0.32,-1
68,-17.1,1.3,-1
61.4,-11.82,-1,-1
47.4,-16.98,-1.68,-1
66.2,-9.06,0.5,1
50.4,-14.22,-0.02,-1
37.8,-18.48,-0.16,-1
32.4,-16.14,1.72,1
35.4,-13.62,1.22,-1
51.2,-13.14,1.04,1
69.2,-20.88,1.22,1
54,-18.78,-1.14,1
42.4,-20.82,-0.9,-1
53.8,-15.3,-0.96,1
61.6,-9,0.34,1
61.6,-11.64,1.92,-1
56,-13.74,1.54,1
55.4,-12.24,0.12,1
36.6,-9.24,1.48,-1
54,-20.94,2,-1
68.2,-13.38,-0.4,1
63.2,-9.54,-0.88,-1
51,-10.5,0.48,1
64.8,-9.18,-1.46,-1
66.6,-15.6,-1.02,1
36.4,-18.78,1.48,1
49.8,-20.1,-1.76,-1
37.2,-16.74,0.34,1
33.4,-18.9,-0.76,-1
37.4,-11.28,1.06,-1
69.8,-15.42,-1.46,1
46,-16.62,-1.2,-1
67.8,-11.64,0.54,1
55,-14.28,-1.68,-1
57.6,-14.94,-1.1,-1
40.2,-12.54,0.48,-1
46.6,-9.48,0.56,-1
36.2,-19.14,-1.44,-1
40.6,-12,1.84,-1
55.4,-17.28,1,-1
50.2,-20.64,0.08,-1
56,-15.54,-1.02,-1
59.4,-18.66,-0.8,-1
68.4,-11.94,1.54,1
40.8,-13.5,-1,1
53.4,-9.78,-0.62,-1
31.6,-15.9,0.64,1
67.2,-14.7,1.96,1
35.2,-19.92,1.3,1
50.8,-12.3,-0.5,-1
55.6,-17.1,0,-1
65.8,-14.94,1.06,1
53.2,-11.52,-0.9,-1
36.4,-9.78,-0.5,1
50.2,-17.82,-1.54,1
65.2,-19.32,-0.5,1
50,-15.24,0.96,-1
30.2,-18.12,0,1
39.4,-11.7,1.82,-1
43.8,-13.86,1.6,1
57.8,-13.74,-1.48,-1
47.4,-14.22,-1.4,1
67,-9.66,1.06,1
60.4,-17.94,0.6,-1
34.8,-18,-0.14,1
35,-16.8,1.9,1
39.2,-20.46,-0.32,1
36.4,-18,-0.82,-1
38.4,-15.42,-1.74,-1
44.2,-15.9,-0.74,-1
50.2,-18.42,-1.84,1
48.6,-20.4,-1.94,-1
62.4,-11.1,1.08,1
55.8,-18.84,-1.06,-1
40.4,-16.74,0.96,-1
57.6,-13.44,-0.26,-1
36,-17.46,-0.34,-1
47.2,-20.82,1.88,1
57.6,-19.38,-0.5,-1
58.8,-15.9,1.04,-1
51.4,-18.3,-1.68,1
66.8,-12.96,-1.34,-1
36.4,-20.82,-1.08,1
58.6,-11.82,0.24,1
57,-17.58,-0.76,1
51.2,-12.24,-1.54,-1
37.8,-19.14,1.12,1
