"","country","medgdpg","pop13","eti","cluster6"
"26","China",7.65,1360.76,4.3,1
"56","India",4.74,1243.34,3.6,1
"30","Croatia",-1,4.28,4.2,2
"31","Cyprus",-4.76,0.88,4.4,2
"32","Czech Republic",-0.87,10.52,4.4,2
"47","Greece",-3.86,11.06,4,2
"61","Italy",-1.85,59.69,4.3,2
"75","Libya",-7.81,6.12,3.5,2
"106","Portugal",-1.35,10.61,4.5,2
"116","Slovenia",-1.11,2.06,4.4,2
"118","Spain",-1.22,46.61,4.8,2
"5","Armenia",4.26,3.29,4.3,3
"8","Azerbaijan",4.96,9.31,3.9,3
"9","Bahrain",4.69,1.17,4.6,3
"27","Colombia",4.27,47.15,4,3
"28","Costa Rica",3.8,4.76,4.4,3
"34","Dominican Republic",4.09,10.42,3.9,3
"35","Ecuador",4.24,15.78,4.1,3
"42","FYR Macedonia",3.1,2.07,4.1,3
"44","Georgia",4.99,4.48,4.5,3
"48","Guatemala",3.5,15.48,4.1,3
"57","Indonesia",5.78,247.95,4.2,3
"64","Jordan",3.25,6.54,4.4,3
"71","Latvia",4.11,2.04,4.4,3
"76","Lithuania",3.31,2.97,4.4,3
"80","Malaysia",5.2,29.62,4.8,3
"88","Montenegro",2.82,0.62,4.3,3
"89","Morocco",3.91,32.85,4.4,3
"92","Namibia",4.31,2.17,3.9,3
"96","Nicaragua",4.2,6.13,4,3
"99","Oman",4.99,3.19,4.7,3
"101","Panama",8,3.72,4.3,3
"103","Peru",5.52,30.95,4.3,3
"104","Philippines",6.82,97.48,4.1,3
"107","Qatar",6.13,2.02,4.9,3
"110","Rwanda",7.5,10.64,4.1,3
"111","Saudi Arabia",4.09,29.99,4.3,3
"124","Thailand",2.87,68.23,4.2,3
"133","Uruguay",3.94,3.39,4.2,3
"135","Vietnam",5.42,89.69,4,3
"3","Angola",5.19,20.82,2.8,4
"10","Bangladesh",6.01,156.3,3.4,4
"12","Benin",5.48,10.32,3.1,4
"13","Bhutan",6.35,0.75,3.5,4
"14","Bolivia",5.18,11.04,3.7,4
"19","Burkina Faso",6.79,16.8,2.9,4
"20","Burundi",4.47,8.99,3,4
"21","Cambodia",7.24,15.41,3.7,4
"22","Cameroon",4.65,21.99,3.2,4
"24","Chad",8.88,11.01,2.5,4
"29","Cote d'Ivoire",8.16,24.07,3.3,4
"39","Ethiopia",8.55,88.85,3.2,4
"43","Gabon",5.74,1.56,3.1,4
"46","Ghana",5.45,25.56,3.6,4
"49","Guinea",3.81,11.13,2.9,4
"50","Guyana",4.8,0.8,3.6,4
"51","Haiti",4,10.32,3.1,4
"65","Kazakhstan",5.67,17.16,3.7,4
"66","Kenya",5.56,44.35,3.7,4
"69","Kyrgyz Republic",4.42,5.64,3.5,4
"70","Lao P.D.R.",7.87,6.77,3.6,4
"73","Lesotho",5.78,1.91,3.5,4
"74","Liberia",7.97,4.08,3.1,4
"79","Malawi",4.97,17.11,3.5,4
"83","Mauritania",6.83,3.72,3,4
"87","Mongolia",12.4,2.9,3,4
"90","Mozambique",7.25,25.86,3.5,4
"91","Myanmar",7.5,64.93,3.2,4
"93","Nepal",4.53,27.92,3.3,4
"97","Nigeria",6.58,169.28,3.1,4
"102","Paraguay",4.8,6.8,3.5,4
"119","Sri Lanka",7,20.82,3.8,4
"123","Tanzania",6.96,46.28,3.5,4
"125","The Gambia",6.35,1.88,3.6,4
"128","Uganda",6.03,36.82,3.6,4
"136","Yemen",4.4,26.66,3,4
"137","Zambia",7.25,14.54,3.7,4
"138","Zimbabwe",4.24,13.12,2.9,4
"1","Albania",1.3,2.79,4,5
"2","Algeria",3.3,37.9,3.2,5
